name,value,label
decade,1,pre-1900s
decade,2,1900s
decade,3,1910s
decade,4,1920s
decade,5,1930s
decade,6,1940s
decade,7,1950s
decade,8,1960s
decade,9,1970s
decade,10,1980s
decade,11,1990s
decade,12,2000s
decade,13,2010s
decadeofadoption,1,pre-1900s
decadeofadoption,2,1900s
decadeofadoption,3,1910s
decadeofadoption,4,1920s
decadeofadoption,5,1930s
decadeofadoption,6,1940s
decadeofadoption,7,1950s
decadeofadoption,8,1960s
decadeofadoption,9,1970s
decadeofadoption,10,1980s
decadeofadoption,11,1990s
decadeofadoption,12,2000s
decadeofadoption,13,2010s
yearinconstitutionmaking,1,year -10
yearinconstitutionmaking,2,year -9
yearinconstitutionmaking,3,year -8
yearinconstitutionmaking,4,year -7
yearinconstitutionmaking,5,year -6
yearinconstitutionmaking,6,year -5
yearinconstitutionmaking,7,year -4
yearinconstitutionmaking,8,year -3
yearinconstitutionmaking,9,year -2
yearinconstitutionmaking,10,year -1
yearinconstitutionmaking,11,year 1
yearinconstitutionmaking,12,year 2
yearinconstitutionmaking,13,year 3
yearinconstitutionmaking,14,year 4
yearinconstitutionmaking,15,year 5
yearinconstitutionmaking,16,year 6
yearinconstitutionmaking,17,year 7
yearinconstitutionmaking,18,year 8
yearinconstitutionmaking,19,year 9
yearinconstitutionmaking,20,year 10
